Order_ID,Order_Date,Region,State,Product_Category,Product_Name,Sales_Amount,Quantity,Profit,Customer_Segment,Salesperson
34,2024-11-06,East,West Bengal,Electronics,Headphones,1669,1,341.88,Home Office,Karan
35,2024-08-11,West,Rajasthan,Electronics,Laptop,5835,5,500.38,Home Office,Rohit
36,2024-11-01,East,Odisha,Office Supplies,Pen,6425,5,1449.2,Home Office,Rohit
37,2025-12-08,West,Rajasthan,Furniture,Table,1038,3,83.25,Consumer,Anjali
38,2024-06-07,North,Haryana,Electronics,Tablet,1393,7,318.99,Home Office,Karan
39,2024-04-15,East,Odisha,Furniture,Desk,1486,1,167.66,Corporate,Rahul
40,2026-01-20,South,Telangana,Office Supplies,Notebook,1792,7,489.62,Home Office,Vikram
41,2024-09-23,South,Karnataka,Electronics,Laptop,19870,10,3148.36,Home Office,Rohit
42,2025-02-20,East,West Bengal,Office Supplies,Notebook,2994,2,779.91,Consumer,Anjali
43,2024-06-14,North,UP,Electronics,Laptop,12375,9,3502.0,Corporate,Karan
44,2025-08-21,North,Haryana,Electronics,Mobile,10512,6,1062.7,Consumer,Vikram
45,2024-12-18,West,Rajasthan,Furniture,Table,8460,9,1359.44,Consumer,Priya
46,2025-12-20,East,West Bengal,Office Supplies,Printer,9800,5,1785.35,Corporate,Rohit
47,2024-05-24,South,Tamil Nadu,Furniture,Table,6770,5,1203.68,Home Office,Rohit
48,2024-04-08,West,Gujarat,Furniture,Table,2920,8,268.53,Corporate,Rahul
49,2025-07-14,North,Haryana,Electronics,Tablet,7730,10,2142.95,Consumer,Priya
50,2025-11-30,West,Maharashtra,Electronics,Headphones,1093,1,201.85,Corporate,Arjun
51,2025-09-13,East,West Bengal,Office Supplies,Printer,3990,3,415.71,Corporate,Rahul
52,2026-01-06,North,Delhi,Electronics,Mobile,8694,6,2247.51,Corporate,Rohit
53,2025-06-07,West,Maharashtra,Office Supplies,Printer,3650,2,323.39,Corporate,Arjun
54,2024-07-21,East,Odisha,Electronics,Tablet,10422,6,2848.47,Corporate,Karan
55,2025-10-25,East,Bihar,Electronics,Tablet,1897,7,131.3,Consumer,Rahul
56,2024-04-26,West,Maharashtra,Office Supplies,Pen,9219,7,2285.31,Corporate,Vikram
57,2025-07-04,West,Gujarat,Office Supplies,Pen,764,2,125.55,Corporate,Priya
58,2024-07-05,North,Delhi,Electronics,Headphones,2064,6,198.81,Corporate,Priya
59,2026-02-06,North,UP,Electronics,Tablet,10556,7,1873.15,Corporate,Anjali
60,2024-07-20,East,Bihar,Furniture,Desk,11168,8,2150.76,Corporate,Amit
61,2025-05-25,South,Telangana,Office Supplies,Printer,571,1,95.98,Corporate,Karan
62,2026-02-09,West,Maharashtra,Furniture,Sofa,7780,4,1934.61,Corporate,Anjali
63,2025-11-04,North,Delhi,Furniture,Table,3500,7,802.1,Consumer,Priya
64,2026-02-17,West,Maharashtra,Electronics,Laptop,327,1,46.67,Consumer,Arjun
65,2024-03-08,West,Maharashtra,Furniture,Table,17532,9,4296.47,Home Office,Amit
66,2024-10-19,West,Maharashtra,Furniture,Sofa,1777,1,514.43,Home Office,Priya
67,2024-09-26,West,Gujarat,Furniture,Sofa,215,1,54.02,Consumer,Rahul
68,2025-11-17,North,Haryana,Office Supplies,Paper,3570,2,337.0,Corporate,Priya
69,2025-06-03,West,Maharashtra,Electronics,Mobile,13374,9,2045.55,Corporate,Rohit
70,2026-02-27,West,Rajasthan,Office Supplies,Pen,1371,3,273.45,Consumer,Rahul
71,2026-02-20,West,Rajasthan,Office Supplies,Notebook,1048,2,155.36,Consumer,Anjali
72,2025-06-16,East,Odisha,Furniture,Table,8912,8,932.41,Corporate,Karan
73,2024-04-14,West,Gujarat,Electronics,Laptop,1443,1,136.81,Home Office,Karan
74,2024-05-09,South,Karnataka,Office Supplies,Notebook,2440,5,467.68,Corporate,Rohit
75,2024-03-15,East,Odisha,Furniture,Chair,10930,10,2679.97,Consumer,Priya
76,2025-05-17,West,Maharashtra,Office Supplies,Notebook,4816,8,940.78,Consumer,Karan
77,2025-11-19,East,Bihar,Office Supplies,Notebook,4113,9,603.71,Corporate,Vikram
78,2024-04-25,North,Punjab,Office Supplies,Notebook,9990,9,1469.05,Consumer,Rahul
79,2025-10-19,North,Punjab,Office Supplies,Paper,1604,2,449.0,Consumer,Priya
80,2024-10-05,South,Karnataka,Office Supplies,Notebook,13088,8,2355.44,Corporate,Vikram
81,2025-04-16,West,Maharashtra,Electronics,Mobile,15728,8,1636.51,Corporate,Rahul
82,2025-12-01,South,Karnataka,Office Supplies,Pen,10728,6,2494.85,Home Office,Rohit
83,2024-08-24,East,Bihar,Furniture,Desk,19620,10,5793.23,Home Office,Meena
84,2025-06-29,South,Telangana,Furniture,Desk,10752,8,2178.04,Home Office,Anjali
85,2024-09-28,North,Punjab,Furniture,Table,1991,1,301.68,Home Office,Amit
86,2025-11-16,South,Tamil Nadu,Furniture,Table,3888,9,396.9,Consumer,Sneha
87,2025-04-08,North,Punjab,Electronics,Laptop,213,1,60.73,Consumer,Meena
88,2024-11-19,West,Maharashtra,Office Supplies,Notebook,8808,6,1367.97,Corporate,Amit
89,2025-05-15,South,Telangana,Electronics,Laptop,2016,8,212.48,Home Office,Karan
90,2025-02-19,East,Odisha,Electronics,Tablet,1817,1,259.13,Consumer,Sneha
91,2025-09-28,West,Gujarat,Office Supplies,Printer,7911,9,1732.9,Home Office,Rohit
92,2025-11-30,South,Tamil Nadu,Furniture,Table,885,1,224.9,Home Office,Amit
93,2024-05-16,South,Karnataka,Furniture,Sofa,14024,8,3610.01,Consumer,Karan
94,2025-04-22,South,Telangana,Electronics,Mobile,16371,9,1062.57,Consumer,Rohit
95,2026-02-13,West,Gujarat,Furniture,Table,1848,4,536.84,Consumer,Amit
96,2025-03-29,North,UP,Electronics,Mobile,12240,10,3244.07,Corporate,Priya
97,2024-10-26,South,Telangana,Office Supplies,Printer,1839,1,393.76,Corporate,Meena
98,2024-11-15,North,UP,Furniture,Desk,1642,1,143.1,Corporate,Karan
99,2025-10-26,South,Karnataka,Office Supplies,Printer,5187,3,1017.3,Home Office,Karan
100,2025-02-23,North,Haryana,Electronics,Headphones,7596,4,992.48,Consumer,Priya
101,2025-11-27,North,UP,Furniture,Chair,1563,1,138.42,Consumer,Vikram
102,2025-07-01,West,Maharashtra,Electronics,Laptop,10822,7,2217.62,Corporate,Amit
103,2025-04-05,South,Kerala,Electronics,Mobile,4158,9,362.08,Consumer,Arjun
104,2025-10-07,West,Rajasthan,Office Supplies,Printer,5010,3,1137.56,Corporate,Priya
105,2025-03-13,South,Karnataka,Furniture,Table,4000,10,613.41,Consumer,Vikram
106,2025-07-24,South,Telangana,Electronics,Mobile,7792,8,609.37,Home Office,Sneha
107,2024-06-20,North,Delhi,Office Supplies,Printer,1381,1,119.44,Consumer,Anjali
108,2025-10-22,South,Kerala,Electronics,Mobile,2298,3,456.93,Home Office,Arjun
109,2024-04-22,East,Bihar,Electronics,Laptop,1360,2,112.12,Consumer,Rahul
110,2025-01-05,East,West Bengal,Furniture,Sofa,6300,7,1510.51,Consumer,Arjun
111,2024-11-04,West,Rajasthan,Electronics,Headphones,1890,5,282.97,Consumer,Vikram
112,2025-07-27,West,Rajasthan,Office Supplies,Pen,543,1,40.5,Consumer,Sneha
113,2026-01-07,West,Rajasthan,Office Supplies,Printer,6048,8,651.39,Consumer,Rohit
114,2024-08-12,South,Tamil Nadu,Furniture,Table,7364,4,713.62,Corporate,Anjali
115,2024-07-13,South,Karnataka,Furniture,Sofa,6784,8,1693.08,Consumer,Rahul
116,2025-08-02,West,Rajasthan,Furniture,Table,1155,3,267.04,Corporate,Meena
117,2024-04-19,East,Odisha,Furniture,Desk,3926,2,1066.93,Home Office,Vikram
118,2025-11-28,East,West Bengal,Furniture,Sofa,7224,4,903.71,Corporate,Amit
119,2026-01-28,North,Punjab,Furniture,Desk,13111,7,2616.27,Home Office,Priya
120,2025-09-11,East,Odisha,Furniture,Sofa,3540,2,833.25,Consumer,Vikram
121,2025-08-17,East,Odisha,Office Supplies,Notebook,2988,4,668.44,Consumer,Sneha
122,2024-06-14,North,Punjab,Furniture,Sofa,10278,9,538.28,Consumer,Priya
123,2025-01-22,East,Odisha,Electronics,Laptop,5868,9,1560.42,Home Office,Anjali
124,2025-05-15,South,Karnataka,Office Supplies,Pen,4136,8,498.02,Consumer,Amit
125,2024-04-26,South,Kerala,Furniture,Sofa,10984,8,2436.62,Corporate,Priya
126,2025-05-25,West,Rajasthan,Furniture,Table,624,4,144.14,Consumer,Anjali
127,2026-01-14,East,Odisha,Electronics,Tablet,2067,3,206.04,Home Office,Arjun
128,2024-10-18,North,UP,Office Supplies,Paper,7896,7,522.77,Home Office,Amit
129,2024-05-26,South,Kerala,Electronics,Mobile,9200,8,1482.33,Consumer,Amit
130,2025-01-25,North,UP,Office Supplies,Paper,7677,9,856.06,Consumer,Rohit
131,2025-06-16,West,Maharashtra,Electronics,Tablet,619,1,54.68,Consumer,Meena
132,2024-06-02,East,Bihar,Office Supplies,Pen,2064,6,491.33,Home Office,Rohit
133,2024-07-18,North,Punjab,Office Supplies,Printer,483,1,93.27,Consumer,Amit
134,2024-11-14,West,Maharashtra,Office Supplies,Pen,9665,5,2021.44,Home Office,Arjun
135,2025-10-18,West,Rajasthan,Electronics,Mobile,15120,9,3248.32,Consumer,Sneha
136,2025-01-02,North,Punjab,Office Supplies,Notebook,8992,8,1162.11,Consumer,Meena
137,2024-11-26,South,Tamil Nadu,Electronics,Tablet,2870,7,261.54,Home Office,Rahul
138,2025-10-17,West,Gujarat,Office Supplies,Notebook,15260,10,1811.64,Consumer,Anjali
139,2025-08-23,South,Telangana,Electronics,Headphones,8442,9,511.05,Corporate,Priya
140,2025-07-11,East,Bihar,Office Supplies,Paper,2128,8,340.94,Home Office,Priya
141,2024-08-02,South,Karnataka,Electronics,Headphones,1931,1,260.59,Corporate,Amit
142,2025-04-20,South,Telangana,Furniture,Desk,13488,8,3612.29,Corporate,Amit
143,2024-12-05,West,Maharashtra,Electronics,Mobile,3952,8,743.76,Home Office,Karan
144,2024-11-18,East,Odisha,Furniture,Table,2358,9,694.08,Consumer,Rohit
145,2025-04-08,East,Bihar,Office Supplies,Printer,3104,4,618.0,Corporate,Amit
146,2024-06-04,North,Haryana,Electronics,Mobile,7950,10,840.62,Corporate,Arjun
147,2024-05-24,East,Odisha,Furniture,Chair,5364,9,1523.93,Corporate,Arjun
148,2024-04-21,East,Odisha,Office Supplies,Paper,858,6,163.04,Home Office,Anjali
149,2025-08-31,North,Haryana,Electronics,Headphones,1492,1,204.96,Home Office,Karan
150,2024-08-20,East,Odisha,Office Supplies,Paper,6165,5,539.2,Corporate,Rahul
151,2024-12-06,West,Gujarat,Office Supplies,Pen,1399,1,126.42,Corporate,Rahul
152,2024-09-13,East,Odisha,Electronics,Mobile,3555,9,769.02,Home Office,Vikram
153,2025-05-08,North,Haryana,Office Supplies,Notebook,4086,6,240.75,Consumer,Priya
154,2025-08-30,North,Haryana,Office Supplies,Paper,5726,7,1134.51,Home Office,Amit
155,2025-08-15,West,Rajasthan,Electronics,Tablet,3195,9,752.93,Corporate,Priya
156,2024-06-25,South,Telangana,Office Supplies,Notebook,12726,9,2585.35,Consumer,Karan
157,2025-07-01,South,Telangana,Office Supplies,Notebook,5320,8,787.48,Consumer,Sneha
158,2024-12-02,West,Maharashtra,Electronics,Tablet,4677,3,1079.24,Home Office,Rahul
159,2024-03-26,West,Rajasthan,Furniture,Table,15704,8,4542.95,Home Office,Rahul
160,2026-02-25,West,Gujarat,Electronics,Headphones,442,2,119.44,Corporate,Karan
161,2025-11-02,West,Gujarat,Office Supplies,Printer,627,3,166.84,Home Office,Arjun
162,2024-11-24,East,West Bengal,Furniture,Desk,1070,5,156.98,Home Office,Meena
163,2024-10-28,South,Telangana,Furniture,Chair,5770,5,722.34,Home Office,Rahul
164,2026-02-25,North,Delhi,Electronics,Headphones,7511,7,2127.09,Consumer,Meena
165,2025-04-08,South,Kerala,Electronics,Mobile,6500,5,1046.05,Home Office,Vikram
166,2024-05-24,North,UP,Office Supplies,Pen,8095,5,775.8,Corporate,Vikram
167,2024-12-11,East,Bihar,Furniture,Table,4145,5,382.84,Home Office,Sneha
168,2024-10-15,East,Bihar,Furniture,Desk,3986,2,360.73,Consumer,Anjali
169,2024-11-12,East,West Bengal,Electronics,Headphones,8180,10,1859.23,Corporate,Priya
170,2026-02-20,South,Kerala,Furniture,Table,2398,2,642.21,Consumer,Rohit
171,2025-03-03,South,Kerala,Office Supplies,Notebook,9120,6,635.78,Consumer,Rohit
172,2024-03-20,South,Kerala,Office Supplies,Pen,1710,5,448.77,Corporate,Priya
173,2025-02-06,South,Telangana,Electronics,Laptop,363,1,75.94,Corporate,Meena
174,2024-11-29,East,West Bengal,Electronics,Mobile,2466,6,536.74,Consumer,Rohit
175,2025-06-29,East,Odisha,Office Supplies,Notebook,1254,1,143.02,Home Office,Karan
176,2025-11-14,South,Telangana,Electronics,Mobile,5688,6,654.08,Consumer,Amit
177,2025-10-22,West,Maharashtra,Office Supplies,Printer,14850,10,3239.15,Home Office,Arjun
178,2024-04-06,North,Delhi,Furniture,Table,8030,10,640.54,Home Office,Rahul
179,2024-10-16,West,Maharashtra,Office Supplies,Paper,12450,10,2675.91,Consumer,Rohit
180,2025-12-10,South,Telangana,Furniture,Sofa,5748,3,440.65,Corporate,Meena
181,2025-12-13,South,Tamil Nadu,Electronics,Headphones,1615,1,160.5,Corporate,Rahul
182,2024-10-31,North,Haryana,Furniture,Desk,1089,9,102.08,Home Office,Rohit
183,2025-03-06,South,Kerala,Furniture,Chair,7088,4,1214.34,Consumer,Amit
184,2024-07-20,East,West Bengal,Furniture,Desk,15784,8,2628.15,Home Office,Priya
185,2025-12-14,North,UP,Office Supplies,Printer,1300,2,262.45,Consumer,Rohit
186,2024-06-30,East,Odisha,Furniture,Desk,9325,5,1738.44,Corporate,Amit
187,2026-02-12,South,Tamil Nadu,Office Supplies,Printer,1170,1,305.47,Home Office,Priya
188,2024-06-13,North,Delhi,Electronics,Headphones,2225,5,442.1,Corporate,Meena
189,2025-12-29,West,Rajasthan,Furniture,Table,4608,9,1344.67,Corporate,Rohit
190,2025-07-02,South,Kerala,Furniture,Table,4908,6,1190.88,Home Office,Karan
191,2025-04-23,South,Telangana,Office Supplies,Paper,1898,2,544.66,Consumer,Amit
192,2025-06-09,West,Gujarat,Furniture,Chair,6813,9,1665.7,Corporate,Arjun
193,2024-04-14,South,Telangana,Office Supplies,Pen,4284,3,359.83,Corporate,Meena
194,2025-11-13,West,Rajasthan,Furniture,Table,3060,5,299.03,Home Office,Amit
195,2024-08-28,North,UP,Office Supplies,Pen,6736,8,1156.08,Home Office,Meena
196,2024-06-18,West,Maharashtra,Office Supplies,Printer,6888,6,1993.58,Corporate,Priya
197,2026-01-12,North,UP,Furniture,Table,142,1,10.73,Corporate,Anjali
198,2025-08-03,West,Gujarat,Furniture,Chair,1963,1,173.45,Corporate,Vikram
199,2024-03-08,East,West Bengal,Electronics,Mobile,602,2,112.09,Home Office,Sneha
200,2024-05-06,South,Telangana,Office Supplies,Printer,2030,7,199.97,Home Office,Vikram
201,2024-03-10,East,Bihar,Furniture,Desk,6321,7,1126.42,Corporate,Sneha
202,2026-01-17,North,UP,Office Supplies,Notebook,4806,3,710.2,Consumer,Vikram
203,2024-09-11,South,Tamil Nadu,Furniture,Chair,6390,5,1480.36,Home Office,Priya
204,2025-04-25,North,Punjab,Electronics,Tablet,12915,9,1056.79,Consumer,Amit
205,2025-01-21,East,Bihar,Furniture,Chair,224,1,49.12,Consumer,Meena
206,2024-06-23,East,Odisha,Furniture,Desk,3294,3,686.48,Home Office,Arjun
207,2025-04-14,South,Kerala,Furniture,Desk,9142,7,2626.94,Consumer,Karan
208,2024-11-09,North,Haryana,Electronics,Headphones,6363,7,1742.58,Corporate,Rohit
209,2026-01-26,West,Rajasthan,Electronics,Headphones,5260,5,388.21,Corporate,Sneha
210,2025-07-09,South,Kerala,Office Supplies,Printer,2457,9,545.17,Consumer,Sneha
211,2024-11-27,South,Tamil Nadu,Electronics,Tablet,17090,10,1895.34,Consumer,Rohit
212,2025-05-27,South,Karnataka,Furniture,Desk,2331,9,442.1,Corporate,Sneha
213,2026-02-01,South,Karnataka,Furniture,Chair,5724,4,547.14,Home Office,Meena
214,2025-05-31,West,Gujarat,Electronics,Mobile,3680,4,1079.04,Consumer,Priya
215,2026-01-21,East,West Bengal,Office Supplies,Notebook,10112,8,1407.5,Consumer,Priya
216,2024-08-15,North,Punjab,Electronics,Laptop,5796,4,1718.59,Consumer,Sneha
217,2024-06-05,South,Karnataka,Office Supplies,Paper,2877,3,405.54,Home Office,Rohit
218,2025-11-30,East,Bihar,Electronics,Laptop,4760,10,1424.05,Corporate,Sneha
219,2025-04-21,North,Haryana,Office Supplies,Pen,14076,9,1805.77,Corporate,Sneha
220,2026-02-01,West,Maharashtra,Furniture,Desk,1200,8,249.53,Corporate,Sneha
221,2024-06-24,South,Karnataka,Electronics,Headphones,2076,4,231.93,Consumer,Amit
222,2025-12-04,North,Punjab,Furniture,Desk,660,5,37.66,Home Office,Sneha
223,2025-11-21,South,Telangana,Furniture,Sofa,8106,7,2091.06,Corporate,Vikram
224,2024-09-07,West,Gujarat,Office Supplies,Printer,12430,10,2474.56,Corporate,Meena
225,2024-06-23,South,Kerala,Furniture,Table,12816,9,2590.43,Corporate,Anjali
226,2025-05-24,West,Rajasthan,Office Supplies,Paper,16560,9,2379.29,Corporate,Meena
227,2024-06-22,South,Kerala,Furniture,Desk,2736,4,248.73,Consumer,Vikram
228,2026-02-13,South,Karnataka,Electronics,Headphones,1575,5,430.29,Consumer,Amit
229,2025-04-04,North,UP,Electronics,Laptop,5904,4,917.04,Corporate,Meena
230,2024-08-16,South,Karnataka,Furniture,Desk,3920,2,342.88,Home Office,Vikram
231,2025-07-12,South,Karnataka,Office Supplies,Pen,4140,3,799.97,Corporate,Anjali
232,2025-11-15,South,Telangana,Electronics,Laptop,5076,9,724.29,Corporate,Rahul
233,2026-01-31,North,Punjab,Furniture,Table,14310,9,874.02,Home Office,Rohit
234,2025-10-30,West,Rajasthan,Office Supplies,Notebook,11934,6,3340.22,Corporate,Arjun
235,2025-04-05,East,Odisha,Electronics,Tablet,1870,2,381.19,Consumer,Rahul
236,2025-09-07,South,Telangana,Office Supplies,Printer,7448,8,1715.93,Home Office,Vikram
237,2025-10-27,East,West Bengal,Electronics,Mobile,10449,9,1199.56,Home Office,Meena
238,2025-07-29,North,Punjab,Office Supplies,Printer,3465,3,990.33,Consumer,Priya
239,2025-07-13,West,Maharashtra,Office Supplies,Notebook,1370,10,152.91,Home Office,Arjun
240,2025-04-08,West,Maharashtra,Electronics,Mobile,1778,2,302.77,Home Office,Amit
241,2025-10-05,North,Haryana,Electronics,Headphones,15184,8,3055.07,Consumer,Meena
242,2025-09-04,West,Maharashtra,Furniture,Chair,1704,3,92.75,Consumer,Meena
243,2025-11-23,South,Karnataka,Furniture,Sofa,2736,2,534.78,Home Office,Karan
244,2024-09-10,East,Bihar,Electronics,Laptop,4185,5,1012.19,Consumer,Karan
245,2024-09-29,South,Telangana,Electronics,Laptop,3483,9,919.62,Home Office,Sneha
246,2024-03-17,West,Rajasthan,Office Supplies,Notebook,6485,5,1622.99,Home Office,Priya
247,2024-10-18,South,Karnataka,Furniture,Table,615,5,102.13,Consumer,Karan
248,2024-05-29,South,Tamil Nadu,Electronics,Mobile,5646,6,511.74,Consumer,Sneha
249,2026-01-13,South,Kerala,Furniture,Sofa,16497,9,1394.06,Home Office,Sneha
250,2025-12-13,South,Kerala,Furniture,Chair,1578,2,110.87,Home Office,Anjali
251,2026-02-20,East,West Bengal,Furniture,Table,1705,5,222.12,Consumer,Rohit
252,2024-11-24,North,Haryana,Office Supplies,Notebook,147,1,33.57,Home Office,Rahul
253,2025-05-24,North,Punjab,Office Supplies,Pen,3024,2,413.94,Corporate,Meena
254,2025-12-17,East,Bihar,Electronics,Tablet,2610,2,707.83,Corporate,Rahul
255,2024-03-10,North,UP,Furniture,Desk,1414,2,279.82,Consumer,Priya
256,2025-10-25,East,West Bengal,Electronics,Tablet,3888,6,416.22,Consumer,Meena
257,2025-11-25,West,Gujarat,Office Supplies,Paper,10446,6,2903.67,Corporate,Rohit
258,2025-10-02,West,Maharashtra,Electronics,Headphones,3000,10,382.84,Consumer,Amit
259,2024-12-30,South,Karnataka,Furniture,Desk,5418,9,1198.72,Consumer,Rahul
260,2025-05-18,South,Karnataka,Electronics,Mobile,488,1,33.14,Consumer,Rohit
261,2025-09-30,South,Kerala,Electronics,Headphones,2416,2,476.08,Corporate,Rohit
262,2024-11-17,West,Gujarat,Office Supplies,Paper,6880,8,791.09,Consumer,Meena
263,2024-09-19,West,Maharashtra,Electronics,Headphones,2126,2,469.82,Corporate,Karan
264,2025-06-02,South,Kerala,Electronics,Headphones,4170,3,237.77,Home Office,Anjali
265,2025-02-08,West,Maharashtra,Furniture,Sofa,1396,2,348.96,Consumer,Rohit
266,2025-01-23,West,Rajasthan,Office Supplies,Pen,2362,2,704.43,Home Office,Vikram
267,2025-10-11,West,Gujarat,Office Supplies,Pen,5016,6,1086.43,Home Office,Anjali
268,2024-03-12,West,Gujarat,Electronics,Tablet,10737,9,923.64,Corporate,Rohit
269,2025-05-07,East,West Bengal,Electronics,Headphones,14104,8,1003.83,Consumer,Priya
270,2025-04-08,East,West Bengal,Electronics,Tablet,2656,2,457.63,Home Office,Rohit
271,2024-03-13,North,Punjab,Office Supplies,Paper,483,3,30.58,Home Office,Anjali
272,2025-08-19,South,Kerala,Furniture,Chair,1461,3,179.52,Corporate,Anjali
273,2025-06-14,East,Bihar,Furniture,Desk,3200,5,744.51,Corporate,Rohit
274,2024-12-22,North,Haryana,Furniture,Chair,2772,7,205.76,Home Office,Priya
275,2025-04-07,East,West Bengal,Furniture,Sofa,6512,4,591.76,Consumer,Arjun
276,2024-10-11,North,UP,Furniture,Desk,3322,2,640.78,Consumer,Karan
277,2025-03-04,West,Maharashtra,Electronics,Laptop,2116,4,575.93,Consumer,Rahul
278,2025-09-02,East,Bihar,Furniture,Table,8928,8,539.97,Corporate,Priya
279,2025-03-25,West,Maharashtra,Office Supplies,Pen,2154,6,239.06,Consumer,Anjali
280,2024-11-15,South,Karnataka,Furniture,Sofa,8430,5,2005.29,Consumer,Arjun
281,2025-01-21,North,Punjab,Office Supplies,Notebook,10290,10,2451.03,Consumer,Anjali
282,2026-03-04,West,Maharashtra,Office Supplies,Pen,5316,3,1015.87,Consumer,Karan
283,2024-03-09,East,Odisha,Electronics,Headphones,1260,4,361.44,Home Office,Rahul
284,2024-12-20,South,Kerala,Office Supplies,Paper,4323,3,224.9,Corporate,Anjali
285,2025-04-03,South,Telangana,Electronics,Headphones,788,4,157.33,Consumer,Karan
286,2025-11-14,North,Haryana,Electronics,Laptop,2044,4,491.38,Corporate,Rahul
287,2024-10-16,South,Tamil Nadu,Furniture,Table,4170,6,926.2,Corporate,Arjun
288,2025-10-24,South,Tamil Nadu,Electronics,Tablet,934,2,152.82,Consumer,Amit
289,2024-09-30,South,Karnataka,Furniture,Chair,7250,10,670.38,Home Office,Sneha
290,2025-11-06,West,Maharashtra,Furniture,Table,8421,7,674.66,Home Office,Sneha
291,2025-02-03,West,Maharashtra,Electronics,Tablet,4545,5,693.93,Corporate,Arjun
292,2025-01-28,North,Haryana,Office Supplies,Notebook,10764,9,541.84,Home Office,Priya
293,2024-09-03,East,Odisha,Electronics,Laptop,5792,4,820.18,Corporate,Priya
294,2024-09-15,West,Gujarat,Electronics,Mobile,1644,2,257.64,Home Office,Meena
295,2025-05-29,North,Punjab,Electronics,Mobile,5620,10,762.93,Home Office,Sneha
296,2025-03-15,West,Rajasthan,Electronics,Headphones,5305,5,436.39,Consumer,Amit
297,2024-08-31,North,Punjab,Electronics,Mobile,9254,7,1548.36,Consumer,Anjali
298,2024-03-12,North,Punjab,Furniture,Sofa,5915,5,1030.9,Corporate,Rohit
299,2025-03-03,West,Rajasthan,Furniture,Sofa,2472,3,740.83,Consumer,Vikram
300,2025-06-20,East,Odisha,Furniture,Sofa,1137,1,332.57,Home Office,Arjun
301,2025-03-25,East,Odisha,Electronics,Headphones,4319,7,1054.34,Home Office,Rohit
302,2025-11-13,East,Odisha,Furniture,Desk,7320,4,1373.63,Consumer,Arjun
303,2024-12-31,South,Tamil Nadu,Electronics,Mobile,1179,1,158.15,Corporate,Meena
304,2024-04-06,North,Haryana,Electronics,Tablet,1090,2,325.34,Consumer,Karan
